headword,alternatives,arabic
$,buck|bucks|usd,دولار أمريكي
(Decrease) / increase in accounts payable and accrued expenses,accounts payable,(النقص)/الزيادة في الذمم الدائنة ومصاريف مستحقة
(Decrease) /increase in notes payable,accrued expenses,(النقص)/الزيادة في أوراق دفع
(Decrease)/ increase in term loans,accrued expenses,(النقص)/الزيادة في قروض لأجل
(Decrease)/increase in accrued expenses and provisions,accrued expenses,(النقص)/الزيادة في مصاريف مستحقة ومخصصات
(Decrease)/increase in cash and cash equivalents,cash and cash equivalents,(النقص)/الزيادة في النقد والنقد المعادل
(Decrease)/increase in payable to related parties,payable to related parties,(النقص)/الزيادة في المستحق إلى أطراف ذات صلة
(Decrease)/increase in trade creditors and provisions,provisions|trade creditors,(النقص)/الزيادة في دائنون تجاريون ومخصصات
(Increase)/decrease in accounts receivable,accounts receivable,(الزيادة)/النقص في الذمم المدينة
(Increase)/decrease in accounts receivable and prepayments,accounts receivable|prepayments,(الزيادة)/النقص في الذمم المدينة ومدفوعات مقدما
(Increase)/decrease in trading investments,trading investments,(الزيادة)/النقص في استثمارات للمتاجرة
5 M Advertising Company W.L.L.,5|Advertising|M,شركة فايف إم للدعاية والإعلان ذ.م.م
A judge has sentenced xxx to three months for resisting authority,resisting authority|sentenced,حكم عليه بالسجن ثلاثة أشهر بتهمة مقاومة السلطات
A'ayan Real Estate,,شركة أعيان العقارية
A'AYAN REAL ESTATE CO. S.A.K.C,A'AYAN|AAYAN|REAL ESTATE,شركة أعيان العقارية ش.م.ك مقفلة
a/c,,حساب جار
AAYAN LEASING & INVESTMENT CO. (K.S.C.C),A'AYAN|AAYAN,شركة أعيان للإجارة والاستثمار (ش.م.ك م)‏
Above par,,أعلى من القيمة الإسمية
Absolute zero,zero,صفر مطلق
Absorption Costing System,Costing System,نظام التكاليف الكلية أو الإجمالية
Acceptances,Acceptance,قبولات مصرفية
Account Balance,Balance,رصيد الحساب
Accountability,,المحاسـبة/المساءلة/المسؤولية
Accountant,,محاسب
Accounting,,محاسبة
Accounting Assumptions (Postulates),Assumptions|Postulates,الفروض أو الافتراضات المحاسبية
Accounting Concepts,Accounting,المفاهيم المحاسبية، المبادئ المحاسبية
Accounting Constraints,Accounting,القيود المحاسبية - المحددات المحاسبية
Accounting Cycle,Accounting,الدورة المحاسبية
Accounting Elements,Accounting,العناصر المحاسبية
Accounting Equation,Accounting,المعادلة المحاسبية
Accounting Information,Accounting,المعلومات المحاسبية
Accounting Objectives,Accounting,الأهداف المحاسبية
Accounting Period (Periodicity),Accounting,الفترة المحاسبية - الفترة المالية
Accounting policies,Accounting,سياسات محاسبية
Accounting Principles,Accounting,المبادئ المحاسبية
Accounting Principles Board (APB),Accounting,مجلس مبادئ المحاسبة الأمريكي
Accounting Procedures,Accounting,الإجراءات المحاسبية
Accounting Research Bulletins,Accounting|Bulletins|Research,نشرات البحوث المحاسبية
Accounting Standards,Accounting|Standards,المعايير المحاسبية
Accounting System,Accounting,النظام المحاسبي
Accounts Payable,Payable,حسابات الدائنين - الدائنون - ذمم دائنة
Accounts Receivable,Receivable,حسابات العملاء - المدينون - ذمم مدينة
Accounts receivable,,ذمم مدينة
Accrual Basis of Accounting,Accounting|Basis of Accounting,أساس الاستحقاق المحاسبي
Accruals,,مستحقات
Accrued expenses,expenses,مصاريف مستحقة - مصروفات مستحقة الدفع
Accrued income,income,إيرادات مستحقة
Accrued interest,interest,فوائد مستحقة
Accrued Revenues,Revenues,إيرادات مستحقة
Acct,,حساب/محاسب
Accumelated,,متراكم، تراكمي
Accumulated amortization,amortization,الإطفاء المتراكم
Accumulated depreciation,depreciation,الاستهلاك المتراكم
Accumulated depreciation and impairment losses,depreciation|impairment,الاستهلاك المتراكم وخسائر الانخفاض في القيمة
Achievements,,إنجازات
Ack.,,إفادة بالاستلام، علم
Acquisition,,امتلاك
Acreage,,مساحة
Acting,,قائم بأعمال
Activities,,أنشطة - نشاطات
Activity Based Costing (ABC),Costing,تكاليف الأنشطة: أحد طرق محاسبة التكاليف التي تعتمد على الأنشطة في توزيع التكاليف غير المباشرة
Activity Based Management (ABM),Management,إدارة الأنشطة: تصف القرارات الإدارية التي تعتمد على تكلفة الأنشطة في تحسين الربحية
Actual value,value,قيمة فعلية/حقيقية
Actual weight,weight,وزن فعلة/حقيقي
Actuals,,المبالغ الفعلية
Additions,,إضافات
