English,Arabic
µ 1,مكل (رمز المكرولتر)
Spine (1),شوكة
spina,شوكة
Supervoltage (1-2 million kv.),فولطاج فائق - فولطية فائقة
Valve,صمام - دسام
valva,صمام - دسام
valvula,صمام - دسام
T ½,ز ½ (العمر النصفي)
13C,الكربون 13
C 14,الكربون 14
14C,الكربون 14
Tablespoon,ملعقة حساء
15ml,ملعقة حساء
Spine (2),السيساء - الصلب
Teaspoon,ملعقة شاي
5 ml,ملعقة شاي
Figure-of-8 bandage,عصابة كالثمانية (بشكل 8)
Yttrium 90,الإتريوم 90
a-,لا - بلا (سابقة)
a-,"سابقة كلمة معناها ""بدون، لا"""
an-,"سابقة كلمة معناها ""بدون، لا"""
Accouchement a terme,ولادة لتمام وتمام
Achroacyte,كرية لنفاوية
a lymphocyte,كرية لنفاوية
Bougie a boule,شمعة مدببة
Bulbus,بصلة
a bulb,بصلة
Bulla a frigore,مجلة صقيعية
Canalis,قناة
a canal,قناة
Capillus,شعرة
a hair,شعرة
Chirurgeon,جراح
a surgeon,جراح
Circumvolutio,تلفيف أو لفة
a convolution,طية
Crista,عرف - قنزعة - حرف
a crest,عرف - قنزعة - حرف
Cyclocephalus,رأس مستدير – بلعط
a cyclops,جادف
Fissura,شق - شقاق - فلق
a fissure,شق - شقاق - فلق
Folie a deux,جنون ثنائي أو جنة ثنائية
Geminus,توأم
a twin,توأم
Gibbus,حدبة
a hump,حدبة
Karyon,نواة
a nucleus,نواة
Lithate,بولات
a urate,بولات
Lobus,فص
a lobe,فص
Lymphomyelocyte,كرية لمفية جذعية
a myeloblast,أرومة نقيية
Monophthalmus,وحيد العين – خلقة
a cyclops,وحيد العين – خلقة
Nodulus,عجيرة
a nodule,عقيدة
Odontologist,أسناتي
a dentist,طبيب أسنان
Paristhmion,لوزة. (بنت الأذن)
a tonsil,لوزة. (بنت الأذن)
Partimute,أبكم
a deaf-mute,أطرش أخرس
Pharmaceutist,صيدلي
a pharmacist,صيدلي
Pharmacon,عقار
a drug,دواء
Piscina,مغطس
a bathtub,مغطس
Planum,سطح. مستوى
a plane,سطح. مستوى
Prominentia,شامخة - بارزة - حدب
a prominence,شامخة - بارزة - حدب
Roentgenoscope,منظار رونتجيني
a fluoroscope,منظار ومضاني
Roentgenoscopy,التنظير الرونجيني
a fluoroscope,تنظر ومضاني
Saigne a blanc,فصيد حتى الشحوب
Spermoblast,أرومة النطفة
a spermatid,سليفة الخلية النطفية
Tonsilla,اللوزة
a tonsil,اللغد
Vibrion,ضمة - شولة - ذب
a vibrio,ضمة - شولة - ذب
Vulnus,جرح
a wound,جرح
Formulating a problem,صياغة مشكلة
Bioplast,المتشكلة الأحيائية - بيوبلاست - خلية
a cell,المتشكلة الأحيائية - بيوبلاست - خلية
Cephalocyst,دودة شريطية
a cestode worm,دودة شريطية
Chondriosphere,كرية غضروفية
a spherical chondriosome,كرة غضروفية
Crenocyte,كرية محززة – كريرة محززة
a crenated erythrocyte,كرية محززة – كريرة محززة
Granulofilocyte,خلية خيطية محببة
a reticulocyte,خلية شبكية
Hyponoderma,داء هجرة اليرقانات - طفح زاحف
HyponodermIa,داء هجرة اليرقانات - طفح زاحف
larva migrans,داء هجرة اليرقانات - طفح زاحف
Inframicrobe,مكروب دقي
a filtrable virus,حمة راشحة
Leukomonocyte,كرية وحيدة بيضاء – كرية لمفية
a lymphocyte,كرية وحيدة بيضاء – كرية لمفية
Macula solaris,نمشة
a freckle,نمشة
Mesocytoma,ورم النسيج الرابط
a sarcoma,سركوما
Motorius,عصب محرك
a motor nerve,عصب محرك
Ovisac,كييس البيضة
a graafian follicle,جريب غراف
Plastocyte,لويحة الدم
a blood platelet,لويحة الدم
Stylus,مرود
a stilet,إبرة. قليم
Synovium,الغشاء الزليلي
a synovial membrane,الغشاء الزليلي
Thrombocyte,صفيحة – لويحة أو صفيحة دموية
a blood platelet,صفيحة – لويحة أو صفيحة دموية
Uranist,جنوسي
a sexual pervert,لوطي
Venenum,سم - زعاف - زبيب
a poison,سم - زعاف - زبيب
Whelk,بثرة
a wheal,سلاق
Stage of a microscope,رف المجهر
Diffusion at a distance,الانتشار عن بعد
Efficiency of a group,كفاءة الجماعة
Element of a matrix,عنصر المصفوفة (تحليل عاملي)
Epilepsy after a stroke,نوبات الصرع بعد حدوث الضربة المخية
Equivalent forms a test,الصور المتكافئة الاختبار
Atheroma cutis,كيس دهني
a sebaceous cyst,كيس دهني
Basocyte,خلية ولوعة بالأساس
a basophil cell or leucocyte,مستقعدة أو كرية بيضاء
Columna,عمود
a column or pillar,عمود
Cornu a of the spinal cord,قرون النخاع الشوكي
Cornu a of the uterus,قرنا الرحم
Delayed delivery of a dead infant,تخليص الجنين الميت المتأخر
Digitus,إصبع
a finger or a toe,إصبع
Neutralizing dose of a toxin,الجرعة المعدلة - الجرعة الماحية أو المزيلة – لتكسين ما
Flacon compte-gouttes,قارورة قطارة
flacon goutte a goutte,قارورة مستهلة
Iter a tertio ad quatum ventriculum,قناة المخ
Labrocyte,الخلية الصاخبة
a mast cell,الخلية الدقلية أو الصارية
Labrum acetabulare,شفا الحق
a cotyloid ligament,الرباط الحقي
Lymphoduct,مسال لمفي
a lymphatic vessel,وعاء لمفي
Micromyeloblast,أرومة نقيية صغرية
micromyelolymphocyte,الجذعة النقيية الدقيقة
a small myeloblast,البدائية النخاعية الدقيقة
Oviduct,البوق (الرحمي) قناة البيض
a uterine tube,مسال الرحم
Pseudoatheroma,ورم معصود كاذب
a sebaceous cyst,كيس دهني
Residuum,قرارة - فضالة - خشارة - بقية
a residue; pl. residua,قرارة - فضالة - خشارة - بقية
Spongiocyte,خلية إسفنجية
a neuroglia cell,خلية الدبق العصبي
Disperse or dispersion system,الجملة المبعثرة
a colloid solution,محلول غرواني
Telangion,شريان انتهائي
a terminal artery,شريان انتهائي
Thermoscope,مكشاف الحرارة التفاضلي
a differential thermometer,مكشاف الحرارة التفاضلي
Vena,وريد – ج. أوردة
a vein; pl. venae,وريد – ج. أوردة
Epilepsy without clinical signs of a stroke,الصرع بدون أي أعراض مرضية للضربة المخية
Need for a frame of orientation,الحاجة إلى إطار توجيهي
Goutte-a-goutte,تخدير أو خدار تستيلاً
Goutte-a-goutte etherization,تخدير بالأثير تستيلا
drop by drop etherization,تخدير بالأثير تستيلا
Lavement goutte-a-goutte,رحضة بالتستيل
Proctoclysis,تقطير شرجي
rectal goutte-a-goutte,تستيل مستقيمي
Acanthesthesia,حس شوكي
Acanthaesthesia,حس التشوك
Achroiocythemia,ندرة يحمور كريات الدم
Achroiocythaemia,ندرة يحمور كريات الدم
achreocythemia,ندرة يحمور كريات الدم
Acidemia,حمضة الدم - حموضة الدم - حمضية
Acidaemia,حمضة الدم - حموضة الدم - حمضية
Acouesthesia,حس السمع
Acouaesthesia,حس السمع
Acro-anesthesia,خدر النهايات
Acro-anaesthesia,خدر الأطراف
Acroparesthesia,تمل الأطراف - تشوش حس النهايات - مذل الأطراف
Acroparaesthesia,تمل الأطراف - تشوش حس النهايات - مذل الأطراف
Actinotoxemia,الانسمام الشعاعي
Actinotoxaemia,الانسمام الشعاعي
etiology,مبحث أسباب المرض
aetiology,مبحث أسباب المرض
Aglycemia,فقد أو غيبة سكر الدم
Aglycaemia,فقد أو غيبة سكر الدم
Hemolytic anemia,أنيمية انحلالية
Haemolytic anemia,أنيمية انحلالية
Hemorrhagic anemia,فاقة دم نزفية
Haemorrhagic anemia,فاقة دم نزفية
Aphotesthesia,وهن الرؤية الضوئية
Aphotaesthesia,وهن حس النور – لفرط التعرض
Autohemagglutination,تلازن دموي ذاتي
Autohaemagglutination,تلازن دموي ذاتي
Autohemagglutinin,ملزن دموي ذاتي
Autohaemagglutinin,ملزن دموي ذاتي
Autohemic,ذاتي الدم
Autohaemic,ذاتي الدم
Authemolysin,حال دموي ذاتي
Authaemolysin,حال دموي ذاتي
Autohemolysis,تحال الدم العفوي
Autohaemolysis,تحال الدم الذاتي أو التلقائي
Autohemotherapy,الاستدماء الذاتي أو التلقائي
Autohaemotherapy,طباب الدم الذاتي
Autohemotransfusion,الإصفاق الذاتي
Autohaemotransfusion,الإصفاق الذاتي
Bradycardic,بطيء القلب
Bradycardiac,بطيء القلب
Calcemia,كلسية الدم – زيادة الكلسيوم في الدم
Calcaemia,كلسية الدم – زيادة الكلسيوم في الدم
Carbohemia,وجود أول أكسيد الكربون في الدم - تفحم الدم - تكربن الدم
Carbohaemia,وجود أول أكسيد الكربون في الدم - تفحم الدم - تكربن الدم
Carbohemoglobin,خضاب كربوني - خضاب فحمي - يحمور كربوني
Carbohaemoglobin,خضاب كربوني - خضاب فحمي - يحمور كربوني
Carboxyhemoglobin,كربوكسيهمغلوبن
Carboxyhaemoglobin,أكسحمور الكربون
Carboxyhemoglobinemia,الانسمام بأول أكسيد الكربون - أكسيحمور الكربون في الدم
Carboxyhemoglobinaemia,الانسمام بأول أكسيد الكربون - أكسيحمور الكربون في الدم
Carboxyhaemoglobinemia,الانسمام بأول أكسيد الكربون - أكسيحمور الكربون في الدم
Carboxyhaemoglobinaemia,الانسمام بأول أكسيد الكربون - أكسيحمور الكربون في الدم
Cholesteremia,كولستريمية
Cholesteraemia,احتباس أو ازدياد كولسترول الدم
Ischemic contracture,قفاع ذووي
Ischaemic contracture,قلص الفاقة الدموية
Glossocinesthetic,حسي حركي لساني – خاص بإحساس الحركة اللسانية
Glossocinaesthetic,حسي حركي لساني – خاص بإحساس الحركة اللسانية
Gyneco-,"سابقة بمعنى ""نسوي"" أو ""أنثوي"""
Gynaeco-,"سابقة بمعنى ""نسوي"" أو ""أنثوي"""
gyno-,"سابقة بمعنى ""نسوي"" أو ""أنثوي"""
Hemianesthesia,تخدير شقي أو نصفي
Hemianaesthesia,تخدير شقي أو نصفي
Hypercryalgesia,فرط الإحساس بالبرد
hypercrysesthesia,فرط الإحساس بالبرد
hypercrysaesthesia,فرط الإحساس بالبرد
Hypercuperemia,فرط نحاس الدم
Hypercuperaemia,فرط نحاس الدم
Hyperlipemia,فرط دهن الدم - فرط شحميات الدم
hyperlipidemia,فرط دهن الدم - فرط شحميات الدم
hyperlipidaemia,فرط دهن الدم - فرط شحميات الدم
hyperlipoidemia,فرط دهن الدم - فرط شحميات الدم
Hyperlipoproteinemia,فرط بروتينات الدم الشحمية
Hyperlipoproteinaemia,فرط بروتينات الدم الشحمية
Hyperphosphatemia,فرط فوسفات الدم
hyperphosphoremia,فرط فوسفات الدم
hyperphosphoraemia,فرط فوسفات الدم
Hypoesthesia,كلال الحس اللمسي
Hypoaesthesia,كلال الحس اللمسي
Hypofibrinogenemia,نقص مولد الليفين في الدم
Hypofibrinogenaemia,نقص مولد الليفين في الدم
Hypomanic,ممسوس نوعًا
Hypomaniac,مهووس نوعًا
Hypo-oxemia,نقص أكسجين الدم
Hypo-oxaemia,نقص أكسجين الدم
Idiopathic anemia,فقر الدم الغامض – سببه اعتلال مكونات الدم لسبب مجهول
Idiopathic anaemia,فقر الدم الغامض – سببه اعتلال مكونات الدم لسبب مجهول
Iodemia,يودية الدم
Iodaemia,يودمية
Isohemagglutination,تلازن دموي متساو
Isohaemagglutination,تراص دموي إسوي
Isohemagglutinin,ملزن دموي مثلي. راصة إسوية
Isohaemagglutinin,ملزن دموي مثلي. راصة إسوية
isoagglutinin,ملزن دموي مثلي. راصة إسوية
Lactacidemia,وجود حمض اللبن في الدم
Lactacidaemia,وجود حمض اللبن في الدم
Leucemia,ابيضاض الدم
Leucaemia,ابيضاض الدم
leukemia,ابيضاض الدم
Leucocythemia,لوكيميا - ابيضاض الدم
Leucocythaemia,لوكيميا - ابيضاض الدم
leukemia,لوكيميا - ابيضاض الدم
Lingua frenata,الرتة - رباط أو لجام اللسان
Lingua fraenata,الرتة - رباط أو لجام اللسان
tongue-tie,الرتة - رباط أو لجام اللسان
Orthopedic,تجبيري
Orthopaedic,تجبيري
Oul-,"بادئة بمعنى ""لثة"" او ""لثوي"""
Oula-,"بادئة بمعنى ""لثة"" او ""لثوي"""
Oxyhemoglobin,أكسي هيموغلوبين
Oxyhaemoglobin,يحمور أكسجيني – مركب من اليحمور مع ذرتي أكسجين
Pent-,"بادئة بمعنى ""خماسي"" أو ""خمسة"""
Penta-,"بادئة بمعنى ""خماسي"" أو ""خمسة"""
Perilymph,اللمف المحيطي
Perilympha,لمفاتيه الأذن – السائل بين التيه الغشائي والتيه العظمي
Photo-esthesia,حساسية للضوء - عدم احتمال النور. رهبة الضوء
Photo-aesthesia,حساسية للضوء - عدم احتمال النور. رهبة الضوء
photo-esthesis,حساسية للضوء - عدم احتمال النور. رهبة الضوء
photo-aesthesis,حساسية للضوء - عدم احتمال النور. رهبة الضوء
Phytohemagglutinin,راصة دموية نباتية
Phytohaemagglutinin,ملزن دموي نباتي
Retinitis hemorrhagica,التهاب الشبكية النزفي
Retinitis haemorrhagica,التهاب الشبكية النزفي
Saleratus,بيكربونات البوتاسيوم
Salaeratus,بيكربونات البوتاسيوم
Spirocheta,الملتوية
Spirochaeta,اللولبية
Spirocheta pallidula,الملتوية (اللولبية) الشاحبة
Spirochaeta pallidula,الملتوية (اللولبية) الشاحبة
Spirocheta pallida,الملتوية (اللولبية) الشاحبة
Spirochaeta pallida,الملتوية (اللولبية) الشاحبة
