Source,German/Dutch,Arabic
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,gC,E•eIœgGڑgGڑgGڑgGڑgGڑgGڑgGڑgGڑgGڑgGڑgGڑgGڑiI›kKœa?•عزوےےے‎‎‏ےےےےےےےےےےےےےےےےےےےےے‎
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,V Allowance for expenses,خصم مقابل الحصول على الإيراد، خصم مقابل تكاليف الإيراد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,O! Availability of foreign exchange,متاح من العملات الأجنبية، عملات متاحة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,H. Continuing guaranty (US); continuing security,ضمان مجدد تلقائيا
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,b Floating debt; unfunded debt,دين سائر قصير الأجل بدون فائدة، دين عائم قصير الأجل غير ثابت
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,E Hedging for the settlement,مراجحة بعقد أجل بغرض تسوية المركز
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,w+Abandonment to Insurers; abandonment clause,تنازل المؤمن له لصالح المؤمن عن الأشياء موضوع التامين مقابل التعويض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Abate, to",خفض، أنقص
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Abatement,خفض، تخفيض، إنقاص
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CAble-bodied workers,قادرون على العمل، عمالة ذات مهارة عادية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Abolltion,إلغاء، حذف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GAbove the line expenses,مصروفات حكومية خارجة (تدون فوق خط فاصل)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAbrasion of coins,تَآكَلَ النقود، نقص وزن المسكوكات، تحات النقود
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Abrogation,إلغاء، نسخ، فسخ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Absorb, to",امتص (فائضا)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAbsorption; merger,إدماج ، امتصاص، دمج، مزج، استغراق، توحيد ،
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Abstention,امتناع عن التصويت
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAbstract of title,شهادة عقَارِية، شهادة بالقيود الواقعة على عقار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Abundance,وفرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AAbuse of authority,سوء استعمال السلطة، تعسف، تجاوز السلطة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAccelerated depreciation,استهلاك معجل ، استهلاك بمعدلات سريعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,A-Accelerating premium pay; acceleration clause,شرط التعجيل
