English,Arabic
abolition,حل
accession,انضمام
accession of a convention,سريان معاهدة
accession to a convention,الإنضمام إلى معاهدة
accession to a treaty,الإنضمام إلى معاهدة
"acquire, to",يَمتلِك
Acquisition,استملاك
acquisition for public purposes,نزع الملكية للمنفعة العامة
Acquisition of land,استملاك الأراضي
acquisition of motor vehicles,استملاك المركبات الميكانيكية
acquisition ordinance,قانون الإستملاك
act,قانون (مَلَكي
acting,وكيل
acting chairman,وكيل رئيس
acting chief justice,وكيل قاضي القضاة
acting chief secretary,وكيل السكرتير العام
acting district commissioner,وكيل حاكم لواء
acting inspector general,وكيل المفتش العام
acting mayor,وكيل رئيس البلدية
acting prime minister,وكيل رئيس الوزراء
acting registrar,وكيل مسجل
action,دعوى
additional duty,ضريبة إضافية
"adhere, to",ينضم
adherence to a treaty,الإنضمام إلى معاهدة
"administer, to",يُدير (نظاماً
administration of justice ac,قانون إجراء العدل
administrative division,تشكيلة إدارية
administrative matters,شؤون إدارية
administrator,قيِّم
administrator general,القيِّم العام
admiralty,ديوان البحرية
admiralty jurisdiction,الاختصاص في القضايا البحرية
admiralty offences,جرائم الأميرالية
admiralty offences act,قانون جرائم الأميرالية
admission,سماح، قبول، إعتماد
advance: (loan),سلفة: (قَرض
"advertise, to",يُعلِن
advisory council,مجلس إستشاري
advocate,مُحام
advocates ordinance,قانون المحامين
advocates rules,نظام المحامين
agency,الوكالة
agency charges,رسوم الوكلاء
agent,وكيل
air navigation act,قانون الملاحة الجوية
air navigation order,مرسوم الملاحة الجوية
alcohol rules,نظام الكحول
allocation,تخصيص
allocation of fees,تخصيص الرسوم
"Alter, to",يُغيّ ;ِر
alteration,تغيير
"amend, to",يُعدِّل
amendment,تعديل
amendment of provisions,تعديل الأحكام
amendment of schedule,تعديل الذيل
amount due,قرض مستحق الدفع
Anglo - French Convention,معاهدة إنجليزية فرنسية
animal burial rules,نظام دف 1606; الحيوانات
animal diseases rules,نظام أمراض الحيوانات
animal quarantine rules,نظام الحجر الصحي على الحيوانات
annual return,كشف سنو 1610;
apparatus,جهاز
Appeal,استئناف
application,سريان
application of act,سريان القانون
application of convention,سريان المعاهدة
application of ordinance,تطبيق القانون
"apply, to",يطبّق
applying,تطبيق
applying restrictions,فرض قيو 1583;
appropriation ordinance,قانون إعتماد الميزانية العامة
approval,مُوافَقة
"approval, with the",بموافقة
"approve, to",يوافق
approved company,شركة موافق عليها
arbitration,تحكيم
arbitration act,قرار التحكيم
arbitration award,قرار التحكيم
arbitration ordinance,قانون التحكيم
archeological excavations permit,ترخيص حفريات الآثار القديمة
area,منطقة
arrest and search,القبض والتحري
arrest of offenders,القبض على المجرمين
"arrest, to",يقبض عل 1609;
article,مادة
"ascertain, to",يتثبَّت من: يتحقق من
ascertainment,تثبت
ascertainment of law,تثبت من التشاريع
assembly,مجمع: جمعية / مجلس
"assess, to",تقدير الملكية لتخمين الضريبة
assessment,تخمين
assignment,حوالة (المال
attorney,وكيل
attorney general,الوكيل العام
auction,مزاد علني
auditor,مراقب حسابات
authorisation,تصريح
authorisation of loan,تصريح بالإقتراض
authority,هيئة
authorized,مفوَّض
authorized inspector,مفتش مفوَّض
award,قرار (المحكَّمين
"award, to",يمنح
bail,كفالة
banderolle ordinance,قانون البندرول
bank,بنك
bank note,ورق نقد (عملة
bank notes forgery,تزوير ورق العملة
banking emergency ordinance,قانون الصرافة أثناء الطوارئ
banking ordinance,قانون الصرافة
bankruptcy ordinance,قانون الإفلاس
"bear, to",يَحمِل
bearer,حامل السَنَد
bearer bond,سند لحامله: سند دين يُدفع لحاملة
"behalf, on",بالنيابة عن
bill,حَوالة
bill of exchange,بوليصة
blocked account,حساب موقوف (مجمد
board,مجلس
body,هيئة
bon voisinage (good - neighbor),حسن الجوار
bond,سنَد دَين
breaking out,نشوب
building by - law(s),نظام البناء
building commission,لجنة أبنية
building permit,رخصة بناء
building permit fees,رسوم رخ 1589; الأبنية
business premises,عقارات تجارية
business tax,ضريبة الحرف والمهن
by - law(s),نظام (داخلي
cancellation,شطب
cancellation of ordinance,شطب قانون
capital issues,سندات رأسمالية
cargo,المشحونات (البضائع المشحونة)
carriage,نقل
carriage by air,النقل الجوي
carriage by sea,النقل البحري
case,قضية
"Cease, to",يُنهي
censorship,مراقبة
central,مركزي
central commission,لجنة مركزية
central planning commission,لجنة تنظيم مركزية
central town planning commission,لجنة تنظيم المدن المركزية
certificate,شهادة
certificate of origin,شهادة البلاد الأصلية
chairman,رئيس
chairman of a board,رئيس مج 1604;س
chairman of a commission,رئيس لجنة
chairman of the rents tribunal,رئيس محكمة الإيجارات
change,تغيير
change of authority,تحويل السلطة
change of title,تغيير لقب
change of title regulations,نظام تغيير ألقاب
"change, to",يُحوِّل
charges,عوائد
charitable trusts,الأوقاف الخيرية
cheque,شيك
chief,رئيس
chief justice,قاضي القضاة
chief minister,رئيس الوزراء
chief secretary,سكرتير عام
child,حدث
circulation,سير
citizen,مواطن
citizenship,جنسية
citizenship order,مرسوم الجنسية
citizenship regulations,نظام الجنسية
civil,مدني
civil court,محكمة نظامية
civil defence,الدفاع المدني
civil matters,قضايا حقوقية
civil procedure,المرافعات الحقوقية
civil procedure convention,معاهدة بشأن أصول المرافعات الحقوقية
civil procedure ordinance,قانون أصول المرافعات الحقوقية
civil trial,محاكمة أمام المحاكم النظامية
civil wrong,مخالفة مدنية
clause,بند
clerk,كاتب، سكرتير
clerk to the executive council,سكرتي ;ر المجلس التنفيذي
close season,فصل محر 1605; فيه (القيام بأمر معين
closed period,فترة الإغلاق
closing hours,مواعيد الإغلاق
closure,حظر
coin,عملة
coinage,صك النق 1583;
collection,جباية
collection of rates,جباية العوائد
collection of returns,جمع الكشوف
collection of taxes,جباية الضرائب
collective fine,غرامة مشتركة
collective punishment,عقوبة مشتركة
colonial probates act,قانون تصديق الوصايا في المستعمرات
colony,مُستعمَرة
combat,مكافحة
combat measures,تدابير مكافحة
come into force,يصبح معمول به: نافذ المفعول
"command, by",بأمر
"command, to",يَقود
commander,قائد
commander - in - chief,قائد عا 1605; للقوات العسكرية
commerce restriction,تقييد التجارة
commercial,تجاري
commercial book of accounts,دفتر الحسابات التجارية
commercial matters,دعاوي تجارية
commercial ordinance,القانون التجاري
commercial relations,علاقات تجارية
commercial treaty,معاهدة تجارية
commission,لجنة
commission of enquiry,لجنة تحقيق
"commission, by",بالنيابة
commissioner,مفوَّض
commissioner for stamp duties,مراقب طوابع الإيرادات
commissioner of a state,مندوب حكومة
community,طائفة
Commutation,استبدال
"commute, to",يُبَدِّل
companies fees,رسوم الشركات
companies ordinance,قانون الشركات
company,شركة
company profits tax,ضريبة أرباح الشركات
"Compensate, to",يُعَوِّض
compensation,تعويض
compensation commissioner,مفوض التعويض
compensation for acquisition,دفع تعويض عن الإستملاك
compensation for demolitions,تعويض ع 1606; الأماكن المهدومة
compensation for property,تعويض ع 1606; الأملاك
compensation for public purposes,تعويض للمقاصد العامة
compensation ordinance,قانون التعويض
competent,مختص
competent authority,السلطة المختصة
competent party,الجهة المختصة
composition,تشكيل
concerning,بشأن
concession,امتياز
condition,شرط
"confiscate, to",يُصادِر
confiscation,مُصادَرة
consolidated,موحّد
consolidation,توحيد
"constitute, to",يُشكِّل
constitution,تشكيل
constitution of courts,تشكيل المحاكم
"Construct, to",يُنشِئ
contempt,عدم احترام (لمحكمة أو قاض أو هيئة تشريعية
Continuation,استمرار سريان
